material_id,material_description,brand,product_category,product_subcategory,list_price_usd,avg_rating,loves_count,review_count,standard_cost_usd
P503206,The Shebang Gift Set,By Rosie Jane,Fragrance,Value & Gift Sets,95.0,4.0,656,6.0,28.5
P429621,"Love, Don't Be Shy",KILIAN Paris,Fragrance,Women,275.0,3.6656,93308,1256.0,82.5
P6463,Romance,Ralph Lauren,Fragrance,Women,63.0,4.5744,27981,524.0,18.9
P463476,Birchwood Pine Candle,NEST New York,Fragrance,Candles & Home Scents,78.0,4.6364,2411,11.0,23.4
P435342,Honeysuckle & Davana Candle,Jo Malone London,Fragrance,Candles & Home Scents,75.0,4.0,1453,7.0,22.5
P503857,Reserve - Sparkling Sugar,CLEAN RESERVE,Fragrance,Women,110.0,4.2182,9548,55.0,33.0
P458630,Not A Perfume Superdose Travel Spray,Juliette Has a Gun,Fragrance,Women,32.0,3.016,6962,125.0,9.6
P501360,Mini Coffret Set,Gucci,Fragrance,Value & Gift Sets,65.0,4.4,26321,5.0,19.5
P387939,Viva La Juicy Gold Couture,Juicy Couture,Fragrance,Women,86.0,4.5679,15139,162.0,25.8
P504364,Glossier You Eau de Parfum,Glossier,Fragrance,Women,64.0,3.7574,55874,235.0,19.2
P430910,Velvet Orchid Travel Spray,TOM FORD,Fragrance,Women,50.0,4.3795,16789,332.0,15.0
P456975,Salt Air Eau De Parfum,SKYLAR,Fragrance,Women,90.0,4.3091,7538,220.0,27.0
P470525,SALT or SWEET Perfume Gift Set,Ellis Brooklyn,Fragrance,Women,40.0,4.4634,6448,41.0,12.0
P461185,REPLICA' Coffee Break Eau de Toilette Travel Spray,Maison Margiela,Fragrance,Women,35.0,3.9526,29546,612.0,10.5
P467944,Miss Dior Rose N'Roses Roller-pearl,Dior,Fragrance,Women,45.0,4.0679,13999,1472.0,13.5
P480152,The Shampoo,Augustinus Bader,Hair,Shampoo & Conditioner,57.0,3.8368,1330,190.0,25.65
P504841,Paddle Brush,PATTERN by Tracee Ellis Ross,Hair,Tools,20.0,4.875,394,8.0,9.0
P477741,Extra Love Volume Shampoo,IGK,Hair,Shampoo & Conditioner,32.0,4.4444,1412,72.0,14.4
P428222,Detangling and Frizz Fighting Leave In Conditioner,OUAI,Hair,Hair Styling & Treatments,30.0,3.9394,120959,1584.0,13.5
P448730,Volumizing Full Conditioner for Fine Hair,Virtue,Hair,Shampoo & Conditioner,42.0,4.6019,4136,108.0,18.9
P422275,Amino Acid Shampoo,Kiehl's Since 1851,Hair,Shampoo & Conditioner,26.0,3.7736,9385,53.0,11.7
P472044,Curl Manifesto Curl Defining Gel-Cream,Kérastase,Hair,Hair Styling & Treatments,45.0,4.1615,9602,161.0,20.25
P501721,Bust Your Brass Blonde Purple Shampoo,amika,Hair,Shampoo & Conditioner,28.0,4.1053,4270,19.0,12.6
P502252,Curl Wow SHOOK Mix & Fix Bundling Spray,COLOR WOW,Hair,Hair Styling & Treatments,38.0,2.75,862,4.0,17.1
P434399,Nutritive Conditioner for Normal to Dry Hair,Kérastase,Hair,Shampoo & Conditioner,42.0,3.8889,10095,153.0,18.9
